# =============================================================================
# postcode_nsw_freq.csv - Frequency table for postcodes in New South Wales
#
# Source: Australian Whitepages (http://www.whitepages.com.au)
#         (May 2001)
#
# Last update: 11/04/2002, Peter Christen
#
# =============================================================================
# Freely extensible biomedical record linkage (Febrl) Version 0.2.1
# See http://datamining.anu.edu.au/projects/linkage.html
#
# AUSTRALIAN NATIONAL UNIVERSITY OPEN SOURCE LICENSE (ANUOS LICENSE)
# VERSION 1.1
#
# The contents of this file are subject to the ANUOS License Version 1.1 (the
# "License"); you may not use this file except in compliance with the License.
# Software distributed under the License is distributed on an "AS IS" basis,
# WITHOUT WARRANTY OF ANY KIND, either express or implied. See the License for
# the specific language governing rights and limitations under the License.
# The Original Software is "postcode_nsw_freq.csv".
# The Initial Developers of the Original Software are Dr Peter Christen
# (Department of Computer Science, Australian National University) and Dr Tim
# Churches (Centre for Epidemiology and Research, New South Wales Department
# of Health). Copyright (C) 2002, 2003 the Australian National University and
# others. All Rights Reserved.
# Contributors:
#
# =============================================================================

# =============================================================================
#
# This table is in a two-column comma separated format, with the first column
# being the names and the second a corresponding frequency count. 
#
# =============================================================================

2000,9563
2007,1389
2008,2195
2009,2721
2010,9366
2011,8843
2014,180
2015,2036
2016,4696
2017,2167
2018,3643
2019,2499
2020,3005
2021,6538
2022,4692
2023,3496
2024,5110
2025,3505
2026,13357
2027,4264
2028,2234
2029,4257
2030,5139
2031,13625
2032,5296
2033,3990
2034,8206
2035,10345
2036,7645
2037,5716
2038,3706
2039,2589
2040,7671
2041,6614
2042,6650
2043,1732
2044,2315
2045,2302
2046,8122
2047,4573
2048,2723
2049,3890
2050,1619
2060,6730
2061,2591
2062,2632
2063,2181
2064,3896
2065,10416
2066,10266
2067,7571
2068,5860
2069,4494
2070,4345
2071,4060
2072,2269
2073,5172
2074,7247
2075,6178
2076,7756
2077,10804
2079,2238
2080,561
2081,1718
2082,1680
2083,833
2084,1266
2085,3935
2086,4183
2087,4150
2088,11457
2089,5188
2090,6741
2092,2259
2093,7822
2094,2488
2095,6781
2096,5791
2097,5671
2099,13042
2100,6430
2101,6356
2102,1239
2103,3664
2104,1522
2105,897
2106,3658
2107,5859
2108,1249
2110,3444
2111,4923
2112,8585
2113,6355
2114,6442
2115,2584
2116,1815
2117,5747
2118,6426
2119,3398
2120,6404
2121,8267
2122,10156
2125,4538
2126,5074
2127,211
2128,101
2130,2630
2131,7307
2132,3015
2133,2994
2134,3532
2135,6692
2136,1406
2137,5476
2138,2444
2140,2786
2141,5786
2142,4894
2143,2160
2144,7003
2145,18121
2146,4841
2147,10417
2148,15798
2150,5673
2151,6888
2152,2473
2153,14148
2154,10177
2155,3723
2156,3559
2157,1153
2158,2358
2159,1599
2160,8263
2161,6965
2162,4034
2163,2895
2164,5461
2165,8927
2166,12373
2167,1933
2168,8195
2170,20240
2171,7257
2173,3399
2176,9102
2177,3018
2190,5833
2191,1627
2192,3577
2193,3836
2194,6093
2195,6347
2196,7187
2197,2261
2198,2106
2199,3951
2200,9208
2203,5021
2204,7871
2205,3738
2206,5134
2207,7060
2208,3417
2209,4486
2210,8918
2211,4965
2212,4315
2213,6334
2214,1300
2216,7076
2217,7921
2218,4095
2219,4374
2220,7219
2221,4725
2222,3736
2223,6713
2224,4621
2225,1721
2226,4182
2227,4611
2228,6170
2229,9244
2230,11157
2231,730
2232,11045
2233,9360
2234,8182
2250,22715
2251,11782
2255,1
2256,6160
2257,11540
2258,1481
2259,13782
2260,8271
2261,18409
2262,6008
2263,9008
2264,4448
2265,1607
2267,1091
2278,863
2280,9226
2281,5325
2282,5312
2283,8344
2284,3847
2285,8608
2286,1199
2287,10080
2289,6793
2290,11739
2291,5543
2292,951
2293,728
2295,1833
2296,637
2297,610
2298,3555
2299,4115
2300,4410
2301,51
2302,66
2303,3822
2304,5567
2305,4842
2306,1147
2307,1231
2308,2
2311,437
2312,476
2314,4
2315,5369
2316,1859
2317,2878
2318,3284
2319,2239
2320,7463
2321,2937
2322,4790
2323,7481
2324,8015
2325,8397
2326,2165
2327,2580
2328,800
2329,861
2330,6577
2333,4482
2334,669
2335,1468
2336,899
2337,2741
2338,596
2339,302
2340,16019
2341,646
2342,199
2343,2054
2344,263
2345,286
2346,1220
2347,943
2350,9123
2351,1
2352,860
2353,331
2354,1571
2355,247
2356,60
2357,1726
2358,1515
2359,315
2360,5227
2361,425
2365,1413
2369,335
2370,3160
2371,537
2372,1998
2379,171
2380,4050
2381,560
2382,649
2386,206
2387,90
2388,1321
2390,3418
2391,1
2395,349
2396,447
2397,255
2398,112
2399,260
2400,4230
2401,139
2402,761
2403,312
2404,782
2405,278
2406,421
2408,176
2409,272
2410,92
2411,42
2415,114
2420,1642
2421,520
2422,2175
2423,1187
2424,192
2425,626
2426,254
2427,846
2428,9922
2429,3772
2430,11775
2431,1836
2439,758
2440,7682
2441,2116
2443,3812
2444,15408
2445,1740
2446,3984
2447,2449
2448,3493
2449,866
2450,13758
2452,4084
2453,1282
2454,2669
2455,1357
2456,4659
2460,10280
2461,2
2462,1102
2463,2368
2464,2577
2465,164
2466,833
2469,1508
2470,4971
2471,931
2472,759
2473,1158
2474,2517
2475,154
2476,311
2477,4401
2478,9750
2479,1613
2480,16763
2481,4532
2482,2571
2483,3671
2484,6470
2485,5602
2486,9668
2487,3383
2488,1147
2489,1304
2490,270
2500,13241
2502,3782
2505,1733
2506,2282
2508,2622
2515,3901
2516,1841
2517,3800
2518,6748
2519,5431
2525,3212
2526,4797
2527,5172
2528,8310
2529,4756
2530,8235
2533,5451
2534,1956
2535,3013
2536,7287
2537,4957
2538,789
2539,7377
2540,14844
2541,9299
2545,402
2546,3928
2547,24
2548,2763
2549,1255
2550,6094
2551,1414
2558,2672
2559,680
2560,17919
2563,85
2564,3335
2565,4412
2566,6035
2567,5339
2568,235
2569,377
2570,7115
2571,2356
2572,1209
2573,1355
2574,1351
2575,4550
2576,4559
2577,5383
2578,905
2579,1116
2580,9927
2581,727
2582,3647
2583,1837
2584,208
2585,154
2586,1109
2587,1238
2588,155
2590,2912
2594,4167
2619,1685
2620,11273
2621,1650
2622,1301
2623,225
2624,34
2625,297
2626,138
2627,1477
2628,773
2630,4052
2631,296
2632,898
2633,233
2640,11212
2641,5965
2642,1733
2643,872
2644,1075
2645,232
2646,2985
2647,881
2648,1124
2649,10
2650,19379
2651,358
2652,2150
2653,942
2655,511
2656,585
2658,598
2659,382
2660,578
2661,72
2663,1581
2665,1106
2666,2352
2668,221
2669,930
2670,1
2671,1785
2672,605
2675,619
2680,7610
2681,729
2683,1
2684,18
2700,2223
2701,762
2702,314
2703,379
2705,3726
2706,383
2707,697
2710,4506
2711,1518
2712,629
2713,1331
2714,973
2715,710
2716,591
2717,532
2720,3026
2721,141
2722,1228
2725,168
2726,103
2727,159
2729,672
2730,675
2731,1708
2732,816
2733,306
2734,145
2735,137
2736,169
2737,295
2738,461
2739,357
2745,5324
2747,9389
2748,647
2749,3779
2750,13399
2752,1245
2753,4943
2754,1566
2755,37
2756,9587
2757,257
2758,2440
2759,6448
2760,6827
2761,5192
2762,1005
2763,5840
2765,4232
2766,2980
2767,3979
2768,2591
2770,13044
2773,1897
2774,4129
2775,724
2776,1282
2777,5835
2778,757
2779,1498
2780,5052
2782,2124
2783,885
2784,370
2785,2044
2786,508
2787,1608
2790,5474
2791,148
2792,176
2793,425
2794,4197
2795,12524
2797,193
2798,560
2799,1329
2800,13908
2803,129
2804,1097
2805,161
2806,359
2807,174
2808,70
2809,106
2810,1393
2820,2647
2821,1990
2823,624
2824,1105
2825,1074
2827,1510
2828,379
2829,1457
2830,12978
2831,1854
2832,992
2833,286
2834,1096
2835,1627
2836,339
2839,437
2840,1199
2842,302
2843,540
2844,607
2845,630
2846,150
2847,783
2848,691
2849,719
